Designator,Mid X,Mid Y,Rotation,Layer
BZ1,187.2,-96.0,0.0,top
C1,169.25,-117.25,180.0,top
C2,157.75,-112.25,90.0,top
C3,152.25,-119.0,270.0,top
C4,151.0,-112.5,90.0,top
C5,144.5,-113.0,90.0,top
C6,158.0,-119.0,270.0,top
D1,201.75,-114.0,270.0,top
D2,138.0,-121.52,270.0,top
J1,160.25,-129.25,0.0,top
J10,121.25,-79.5,180.0,top
J11,121.0,-92.75,180.0,top
J12,121.25,-85.5,180.0,top
J13,204.0,-86.25,180.0,top
J14,188.0,-55.5,180.0,top
J15,188.0,-47.5,180.0,top
J16,180.46,-38.0,0.0,top
J17,194.0,-38.0,0.0,top
J2,204.0,-79.25,180.0,top
J20,187.48,-78.71,270.0,top
J21,123.33,-105.48,0.0,top
J3,204.25,-93.25,180.0,top
J4,129.5,-55.75,180.0,top
J5,123.46,-38.0,0.0,top
J6,137.21,-38.0,0.0,top
J7,129.5,-47.5,180.0,top
J8,121.25,-65.55,180.0,top
J9,121.25,-72.8,180.0,top
L1,170.0,-105.0,270.0,top
R1,144.5,-121.94,270.0,top
SW1,139.35,-89.25,0.0,top
SW4,193.1,-63.75,180.0,top
U1,159.2205,-62.055,0.0,top
U2,189.825,-112.725,0.0,top
U3,154.0,-103.15,270.0,top
